Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Teste login,Chrome 97.0.4692.99,,,2022-01-21 09:29:25,2022-01-21 09:29:40,"14,855s",PASSED
,,,,,,,
Test Cases/TC01- Login e senha utilizando variavel,Chrome 97.0.4692.99,,,2022-01-21 09:29:25,2022-01-21 09:29:34,"8,355s",PASSED
"openBrowser("""")",Chrome 97.0.4692.99,,,2022-01-21 09:29:26,2022-01-21 09:29:29,"2,911s",PASSED
"navigateToUrl(""http://172.16.1.21:7802/pt/"")",Chrome 97.0.4692.99,,,2022-01-21 09:29:29,2022-01-21 09:29:30,"0,961s",PASSED
"setText(findTestObject(""Object Repository/Page_Dataplace - SFA/Page_Dataplace - SFA/input_Nome de usurio ou endereo de email_email (9)""), username)",Chrome 97.0.4692.99,,,2022-01-21 09:29:30,2022-01-21 09:29:31,"0,877s",PASSED
"click(findTestObject(""Object Repository/Page_Dataplace - SFA/Page_Dataplace - SFA/div_Senha (1)""))",Chrome 97.0.4692.99,,,2022-01-21 09:29:31,2022-01-21 09:29:31,"0,435s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Dataplace - SFA/Page_Dataplace - SFA/input_Senha_senha (9)""), password)",Chrome 97.0.4692.99,,,2022-01-21 09:29:31,2022-01-21 09:29:32,"0,484s",PASSED
"click(findTestObject(""Object Repository/Page_Dataplace - SFA/Page_Dataplace - SFA/div_Login (3)""))",Chrome 97.0.4692.99,,,2022-01-21 09:29:32,2022-01-21 09:29:32,"0,516s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Dataplace - SFA/Page_Dataplace SFA/div_Mensagem (2)""), mensagem, OPTIONAL)",Chrome 97.0.4692.99,,,2022-01-21 09:29:32,2022-01-21 09:29:33,"0,849s",PASSED
closeBrowser(),Chrome 97.0.4692.99,,,2022-01-21 09:29:33,2022-01-21 09:29:34,"0,761s",PASSED
,,,,,,,
Test Cases/TC01- Login e senha utilizando variavel,Chrome 97.0.4692.99,,,2022-01-21 09:29:34,2022-01-21 09:29:40,"5,939s",PASSED
"openBrowser("""")",Chrome 97.0.4692.99,,,2022-01-21 09:29:34,2022-01-21 09:29:35,"1,226s",PASSED
"navigateToUrl(""http://172.16.1.21:7802/pt/"")",Chrome 97.0.4692.99,,,2022-01-21 09:29:35,2022-01-21 09:29:36,"0,838s",PASSED
"setText(findTestObject(""Object Repository/Page_Dataplace - SFA/Page_Dataplace - SFA/input_Nome de usurio ou endereo de email_email (9)""), username)",Chrome 97.0.4692.99,,,2022-01-21 09:29:36,2022-01-21 09:29:37,"0,908s",PASSED
"click(findTestObject(""Object Repository/Page_Dataplace - SFA/Page_Dataplace - SFA/div_Senha (1)""))",Chrome 97.0.4692.99,,,2022-01-21 09:29:37,2022-01-21 09:29:37,"0,405s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Dataplace - SFA/Page_Dataplace - SFA/input_Senha_senha (9)""), password)",Chrome 97.0.4692.99,,,2022-01-21 09:29:37,2022-01-21 09:29:38,"0,483s",PASSED
"click(findTestObject(""Object Repository/Page_Dataplace - SFA/Page_Dataplace - SFA/div_Login (3)""))",Chrome 97.0.4692.99,,,2022-01-21 09:29:38,2022-01-21 09:29:38,"0,503s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Dataplace - SFA/Page_Dataplace SFA/div_Mensagem (2)""), mensagem, OPTIONAL)",Chrome 97.0.4692.99,,,2022-01-21 09:29:38,2022-01-21 09:29:39,"0,828s",PASSED
closeBrowser(),Chrome 97.0.4692.99,,,2022-01-21 09:29:39,2022-01-21 09:29:40,"0,745s",PASSED
